startingAirport,destinationAirport,number_of_transits,averageTravelDistance,averageTravelDuration
ATL,BOS,0,947.0,9440.463247459229
ATL,BOS,1,1016.9954967582273,25065.766614696662
ATL,BOS,2,993.2270381836945,35734.117647058825
ATL,CLT,0,228.0,4646.74314793322
ATL,CLT,1,1124.1328226021506,25317.038288944575
ATL,CLT,2,1235.7396578538103,35250.94245723173
ATL,DEN,0,1207.0,11829.945256504318
ATL,DEN,1,1751.506020993041,30740.95040566095
ATL,DEN,2,1752.440201005025,46924.94472361809
ATL,DFW,0,725.0,8355.862838392124
ATL,DFW,1,1225.3307146818922,25628.390710382515
ATL,DFW,2,931.696,30889.68
ATL,DTW,0,604.0,6929.368033883192
ATL,DTW,1,1104.3103579892559,25386.702978800342
ATL,DTW,2,1219.8181818181818,42227.72727272727
ATL,DTW,3,1064.2789699570815,35358.28326180258
ATL,EWR,0,762.0,8177.091210363787
ATL,EWR,1,917.6541204205815,25879.940976163452
ATL,EWR,2,1277.7868852459017,43040.65573770492
ATL,IAD,0,541.0,6383.59055571552
ATL,IAD,1,709.7173657389259,19928.949431595454
ATL,IAD,2,1087.7391304347825,41313.913043478264
ATL,IAD,3,1194.1754385964912,39897.71929824561
ATL,JFK,0,762.0,8450.6971294669
ATL,JFK,1,1102.9831201303227,26174.687174742685
ATL,JFK,2,1059.3671859973072,32347.616849394115
ATL,LAX,0,1937.9799197369507,17172.456463990555
ATL,LAX,1,2146.267505601516,32859.340645211065
ATL,LAX,2,2063.8171631909963,67867.87375415282
ATL,LAX,3,2352.0,76260.0
ATL,LGA,0,762.0,8357.576403113479
ATL,LGA,1,980.2464391042902,23409.928934010153
ATL,LGA,2,905.859375,32678.4375
ATL,LGA,3,1348.0,40140.0
ATL,MIA,0,596.0,6906.718137993372
ATL,MIA,1,1699.365111667455,30709.69024885347
ATL,MIA,2,1568.9807692307693,47014.61538461538
ATL,OAK,1,2379.6855507710993,37593.652860507
ATL,OAK,2,2455.625999604113,48172.489633724945
ATL,OAK,3,1960.3584905660377,65308.8679245283
ATL,ORD,0,600.0,7760.1467604782665
ATL,ORD,1,1281.8910296721838,29575.958908386936
ATL,ORD,2,1092.2454545454545,42955.63636363636
ATL,ORD,3,900.1905781584583,33293.89721627409
ATL,PHL,0,669.7218924734061,7417.985354691075
ATL,PHL,1,1044.1183439935146,25633.529864480508
ATL,PHL,2,912.9889589905363,30091.23028391167
ATL,PHL,3,992.0,41200.0
ATL,SFO,0,2135.0,18581.0642098336
ATL,SFO,1,2574.4728928382724,37017.30315888732
ATL,SFO,2,2406.8531902026007,47902.5612337466
BOS,ATL,0,947.0,10281.672820221527
BOS,ATL,1,1047.08723121374,24948.12470190348
BOS,ATL,2,963.095087163233,40785.35657686213
BOS,CLT,0,728.0,8711.65581714062
BOS,CLT,1,793.2751719350616,22430.58848955069
BOS,CLT,2,1019.7203117835855,34014.470426409905
BOS,DEN,0,1763.0,16568.48738746769
BOS,DEN,1,1932.9630745278478,31745.370859179096
BOS,DEN,2,1930.160548994574,46715.42930098947
BOS,DFW,0,1556.0,15486.058592160585
BOS,DFW,1,1668.7318201873506,29026.04501957373
BOS,DFW,2,1734.2739965095986,40874.13612565445
BOS,DTW,0,622.0,8001.889812728262
BOS,DTW,1,803.4362118688135,25191.32055440873
BOS,DTW,2,993.7513464991023,39670.5565529623
BOS,EWR,0,185.0,5402.218768763466
BOS,EWR,1,1365.543005839188,29643.536842105263
BOS,EWR,2,1266.7407407407406,32180.0
BOS,IAD,0,406.0,5776.40924741761
BOS,IAD,1,756.0577848928068,22262.45343137255
BOS,IAD,2,516.1666666666666,32200.0
BOS,IAD,3,342.0,30097.66423357664
BOS,JFK,0,185.0,4841.624528565442
BOS,JFK,1,585.2893688725491,25795.983455882353
BOS,JFK,2,492.2,25863.428571428572
BOS,LAX,0,2606.0,22749.262063939674
BOS,LAX,1,2743.1731733153933,37256.24823808949
BOS,LAX,2,2691.115871470302,52779.61051606621
BOS,LGA,0,185.0,5049.775433486194
BOS,LGA,1,806.9068162284088,21474.821533749557
BOS,LGA,2,944.6277495769882,43248.37563451777
BOS,MIA,0,1260.0,12836.204720087815
BOS,MIA,1,1325.8398742499267,26801.05359778266
BOS,MIA,2,1402.153488372093,44326.88372093023
BOS,OAK,1,2940.0862256014916,40210.31451612903
BOS,OAK,2,3091.8028776721962,53939.924169475205
BOS,OAK,3,2275.0,79020.0
BOS,ORD,0,862.0,10492.332920402292
BOS,ORD,1,990.3492004624658,26180.021564634
BOS,ORD,2,979.6533333333333,40074.0
BOS,PHL,0,280.0,5880.478121068083
BOS,PHL,1,343.96278371941486,25022.949378599576
BOS,PHL,2,724.0,33510.0
BOS,SFO,0,2698.0,24190.995380779135
BOS,SFO,1,2855.842007720983,39225.71406678033
BOS,SFO,2,2941.182544560541,47387.73816840811
CLT,ATL,0,228.0,4508.12823164426
CLT,ATL,1,1124.3122785232786,24745.12413691788
CLT,ATL,2,1204.8881704069988,36408.49752757703
CLT,BOS,0,728.0,8033.870904645477
CLT,BOS,1,774.4782242549114,21358.150255569486
CLT,BOS,2,1014.2319852941176,32403.08823529412
CLT,DEN,0,1346.0,13049.873852226894
CLT,DEN,1,1769.478265850299,28375.89143469571
CLT,DEN,2,1754.427797833935,41608.03367408298
CLT,DFW,0,930.0,9997.22820763957
CLT,DFW,1,1276.5946678743546,23883.461453338252
CLT,DFW,2,975.2790697674419,30984.732558139534
CLT,DFW,3,1139.7197938877043,41640.746268656716
CLT,DTW,0,505.0,6416.021547967995
CLT,DTW,1,953.2832360342926,22362.79524361949
CLT,DTW,2,1149.1917069014485,44079.94319795513
CLT,EWR,0,545.0,6771.947062362142
CLT,EWR,1,1002.573223993917,22307.163490231967
CLT,EWR,2,943.2316647264261,37350.59371362049
CLT,IAD,0,327.0,5233.893473368342
CLT,IAD,1,794.9872949069838,19060.87090909091
CLT,IAD,2,884.8614609571788,35541.76322418136
CLT,JFK,0,545.0,7141.005601493732
CLT,JFK,1,809.2639136850081,21776.830583370494
CLT,JFK,2,939.3469440496189,32742.62566223026
CLT,LAX,0,2119.244261308951,18383.288487411108
CLT,LAX,1,2463.496854859595,33521.45818872372
CLT,LAX,2,2287.295738593585,45654.64237313658
CLT,LAX,3,2604.0,56820.0
CLT,LGA,0,545.0,6524.539789069991
CLT,LGA,1,740.7087584424232,19641.995776854437
CLT,LGA,2,1285.5482352941176,41628.56470588235
CLT,MIA,0,652.0,7347.7247932430055
CLT,MIA,1,1075.0602640487502,22862.025840371385
CLT,MIA,2,1652.0,34897.42765273312
CLT,OAK,1,2337.253398149189,39264.370574350905
CLT,OAK,2,2634.1907889213635,48418.6972488886
CLT,OAK,3,1588.6290322580646,75375.0
CLT,ORD,0,592.0,7981.775028121485
CLT,ORD,1,1133.7001993728315,23619.682393343628
CLT,ORD,2,698.0566037735849,21925.471698113208
CLT,ORD,3,733.3210169491525,42230.338983050846
CLT,PHL,0,450.6475775682096,5986.998561151079
CLT,PHL,1,915.5067793939104,23306.05572149552
CLT,PHL,2,794.7254098360655,32498.237704918032
CLT,PHL,3,778.0,39300.0
CLT,SFO,0,2292.0,19770.25005082334
CLT,SFO,1,2716.670960049749,36174.725961180935
CLT,SFO,2,2583.1584406294705,47192.9756795422
CLT,SFO,3,2710.0,54000.0
DEN,ATL,0,1207.0,10581.27140193253
DEN,ATL,1,1761.4840123630959,29203.52636127917
DEN,ATL,2,1710.7577319587629,43358.35051546392
