startingAirport,destinationAirport,flight_hour,segmentsAirlineCode
ATL,BOS,0,AA
ATL,BOS,1,DL
ATL,BOS,2,DL
ATL,BOS,3,DL
ATL,BOS,9,UA
ATL,BOS,10,AA
ATL,BOS,11,DL
ATL,BOS,12,AA
ATL,BOS,13,UA
ATL,BOS,14,DL
ATL,BOS,15,AA
ATL,BOS,16,DL
ATL,BOS,17,DL
ATL,BOS,18,AA
ATL,BOS,19,DL
ATL,BOS,20,DL
ATL,BOS,21,AA
ATL,BOS,22,DL
ATL,BOS,23,UA
ATL,CLT,0,AA
ATL,CLT,1,DL
ATL,CLT,2,DL
ATL,CLT,3,DL
ATL,CLT,9,UA
ATL,CLT,10,AA
ATL,CLT,11,DL
ATL,CLT,12,AA
ATL,CLT,13,UA
ATL,CLT,14,DL
ATL,CLT,15,AA
ATL,CLT,16,DL
ATL,CLT,17,UA
ATL,CLT,18,AA
ATL,CLT,19,DL
ATL,CLT,20,AA
ATL,CLT,21,DL
ATL,CLT,22,AA
ATL,CLT,23,DL
ATL,DEN,0,DL
ATL,DEN,1,UA
ATL,DEN,2,F9
ATL,DEN,3,DL
ATL,DEN,9,NK
ATL,DEN,10,AA
ATL,DEN,11,B6
ATL,DEN,12,AA
ATL,DEN,13,UA
ATL,DEN,14,DL
ATL,DEN,15,DL
ATL,DEN,16,AA
ATL,DEN,17,UA
ATL,DEN,18,AA
ATL,DEN,19,DL
ATL,DEN,20,UA
ATL,DEN,21,UA
ATL,DEN,22,AA
ATL,DEN,23,DL
ATL,DFW,0,DL
ATL,DFW,1,DL
ATL,DFW,2,DL
ATL,DFW,3,DL
ATL,DFW,9,UA
ATL,DFW,10,AA
ATL,DFW,11,UA
ATL,DFW,12,DL
ATL,DFW,13,NK
ATL,DFW,14,NK
ATL,DFW,15,DL
ATL,DFW,16,AA
ATL,DFW,17,AA
ATL,DFW,18,DL
ATL,DFW,19,UA
ATL,DFW,20,DL
ATL,DFW,21,UA
ATL,DFW,22,AA
ATL,DFW,23,AA
ATL,DTW,0,DL
ATL,DTW,1,DL
ATL,DTW,2,DL
ATL,DTW,3,DL
ATL,DTW,9,UA
ATL,DTW,10,AA
ATL,DTW,11,DL
ATL,DTW,12,DL
ATL,DTW,13,DL
ATL,DTW,14,NK
ATL,DTW,15,DL
ATL,DTW,16,AA
ATL,DTW,17,DL
ATL,DTW,18,NK
ATL,DTW,19,DL
ATL,DTW,20,AA
ATL,DTW,21,DL
ATL,DTW,22,AA
ATL,DTW,23,DL
ATL,EWR,0,DL
ATL,EWR,1,UA
ATL,EWR,2,DL
ATL,EWR,3,DL
ATL,EWR,9,NK
ATL,EWR,10,AA
ATL,EWR,11,DL
ATL,EWR,12,AA
ATL,EWR,13,NK
ATL,EWR,14,NK
ATL,EWR,15,DL
ATL,EWR,16,UA
ATL,EWR,17,UA
ATL,EWR,18,DL
ATL,EWR,19,UA
ATL,EWR,20,AA
ATL,EWR,21,UA
ATL,EWR,22,DL
ATL,EWR,23,UA
ATL,IAD,0,UA
ATL,IAD,1,UA
ATL,IAD,2,DL
ATL,IAD,3,DL
ATL,IAD,9,UA
ATL,IAD,10,AA
ATL,IAD,11,DL
ATL,IAD,12,AA
ATL,IAD,13,UA
ATL,IAD,14,DL
ATL,IAD,15,AA
ATL,IAD,16,UA
ATL,IAD,17,DL
ATL,IAD,18,UA
ATL,IAD,19,UA
ATL,IAD,20,DL
ATL,IAD,21,DL
ATL,IAD,22,AA
ATL,IAD,23,UA
ATL,JFK,0,AA
ATL,JFK,1,DL
ATL,JFK,2,DL
ATL,JFK,3,DL
ATL,JFK,9,UA
ATL,JFK,10,AA
ATL,JFK,11,DL
ATL,JFK,12,AA
ATL,JFK,13,UA
ATL,JFK,14,DL
ATL,JFK,15,AA
ATL,JFK,16,DL
ATL,JFK,17,UA
ATL,JFK,18,AA
ATL,JFK,19,DL
ATL,JFK,20,AA
ATL,JFK,21,DL
ATL,JFK,22,AA
ATL,JFK,23,DL
ATL,LAX,0,DL
ATL,LAX,1,DL
ATL,LAX,2,DL
ATL,LAX,3,DL
ATL,LAX,9,NK
ATL,LAX,10,AA
ATL,LAX,11,DL
ATL,LAX,12,AA
ATL,LAX,13,NK
ATL,LAX,14,DL
ATL,LAX,15,UA
ATL,LAX,16,DL
ATL,LAX,17,UA
ATL,LAX,18,NK
ATL,LAX,19,DL
ATL,LAX,20,AA
ATL,LAX,21,UA
ATL,LAX,22,AA
ATL,LAX,23,UA
ATL,LGA,0,DL
ATL,LGA,1,DL
ATL,LGA,2,DL
ATL,LGA,3,DL
ATL,LGA,9,UA
ATL,LGA,10,AA
ATL,LGA,11,DL
ATL,LGA,12,AA
ATL,LGA,13,UA
ATL,LGA,14,DL
ATL,LGA,15,AA
ATL,LGA,16,DL
ATL,LGA,17,DL
ATL,LGA,18,AA
ATL,LGA,19,DL
ATL,LGA,20,AA
ATL,LGA,21,AA
ATL,LGA,22,DL
ATL,LGA,23,DL
ATL,MIA,0,DL
ATL,MIA,1,UA
